date,age,stack,exp,salary,location
2014-05-06,21,.NET,2,5 000 pln brutto ?,Warszawa
2014-05-06,25,.NET,3,8 000 pln brutto uop,Poznań
2014-05-06,27,.NET,1,5 900 pln brutto uod,Kraków
2014-05-08,27,PHP,6,12 000 pln brutto ?,Warszawa
2014-05-08,24,.NET,1,3 500 pln netto ?,Katowice
2014-05-08,26,PHP,3,4 000 pln netto uop,Poznań
2014-05-08,28,Developer,6,7 000 pln netto b2b,Wrocław
2014-05-08,25,Java,1.5,3 300 pln netto uop,Kraków
2014-05-08,25,Java,1.5,5 700 pln brutto ?,Kraków
2014-05-09,20,.NET,0,1 200 pln brutto ?,Gdańsk
2014-05-09,32,Java,10,26 000 pln netto b2b,Warszawa
2014-05-09,23,.NET,0.75,1 700 pln netto b2b,Częstochowa
2014-05-11,24,C++,1.5,6 000 pln netto uop,Wrocław
2014-05-11,26,Visual Basic,1,1 800 pln netto uop,Radom
2014-05-11,24,.NET,1.5,3 900 pln netto uop,Warszawa
2014-05-11,23,Java,0.5,4 000 pln brutto uop,Kraków
2014-05-11,21,C++,0.83,2 700 pln netto b2b,Wrocław
2014-05-13,26,Java,2,3 500 pln brutto b2b,Częstochowa
2014-05-15,24,.NET,1,3 500 pln netto uop,Kraków
2014-05-16,25,Java,1,3 700 pln netto b2b,Warszawa
2014-05-16,21,Java,1.5,4 500 pln brutto uop,Kraków
2014-05-21,26,Javascript,7,21 000 pln netto b2b,Warszawa
2014-05-22,27,PHP,6,26 000 pln brutto ?,Warszawa
2014-05-23,30,C++,6,12 000 pln netto uop,Kraków
2014-05-24,27,Java,6,14 500 pln netto b2b,Katowice
2014-06-11,23,PHP,1,2 000 pln netto ?,Toruń
2014-06-20,23,C++,1,2 550 pln netto ?,Łódź
2014-06-21,29,Java,5,10 000 pln brutto uop,Warszawa
2014-06-27,21,.NET,2,6 600 pln brutto ?,Warszawa
2014-07-07,24,iOS,0.83,3 300 pln brutto uop,Kraków
2014-07-08,27,Developer,4,11 000 pln brutto uop,Kraków
